ensembl_gene_id,gene_biotype,gene
ENSG00000006611,protein_coding,USH1C
ENSG00000006625,protein_coding,GGCT
ENSG00000006634,protein_coding,DBF4
ENSG00000006652,protein_coding,IFRD1
ENSG00000006695,protein_coding,COX10
ENSG00000006704,protein_coding,GTF2IRD1
ENSG00000006712,protein_coding,PAF1
ENSG00000006715,protein_coding,VPS41
ENSG00000006740,protein_coding,ARHGAP44
ENSG00000006744,protein_coding,ELAC2
ENSG00000006747,protein_coding,SCIN
ENSG00000006756,protein_coding,ARSD
ENSG00000006757,protein_coding,PNPLA4
ENSG00000006788,protein_coding,MYH13
ENSG00000006831,protein_coding,ADIPOR2
ENSG00000006837,protein_coding,CDKL3
ENSG00000007001,protein_coding,UPP2
ENSG00000007047,protein_coding,MARK4
ENSG00000007062,protein_coding,PROM1
ENSG00000007080,protein_coding,CCDC124
ENSG00000007168,protein_coding,PAFAH1B1
ENSG00000007171,protein_coding,NOS2
ENSG00000007174,protein_coding,DNAH9
ENSG00000007202,protein_coding,KIAA0100
ENSG00000007237,protein_coding,GAS7
ENSG00000007255,protein_coding,TRAPPC6A
ENSG00000007264,protein_coding,MATK
ENSG00000007341,protein_coding,ST7L
ENSG00000007372,protein_coding,PAX6
ENSG00000007376,protein_coding,RPUSD1
ENSG00000007384,protein_coding,RHBDF1
ENSG00000007392,protein_coding,LUC7L
ENSG00000007402,protein_coding,CACNA2D2
ENSG00000007516,protein_coding,BAIAP3
ENSG00000007520,protein_coding,TSR3
ENSG00000007541,protein_coding,PIGQ
ENSG00000007866,protein_coding,TEAD3
ENSG00000007908,protein_coding,SELE
ENSG00000007923,protein_coding,DNAJC11
ENSG00000007944,protein_coding,MYLIP
ENSG00000008018,protein_coding,PSMB1
ENSG00000008056,protein_coding,SYN1
ENSG00000008083,protein_coding,JARID2
ENSG00000008086,protein_coding,CDKL5
ENSG00000008118,protein_coding,CAMK1G
ENSG00000008128,protein_coding,CDK11A
ENSG00000008130,protein_coding,NADK
ENSG00000008197,protein_coding,TFAP2D
ENSG00000008226,protein_coding,DLEC1
ENSG00000008256,protein_coding,CYTH3
ENSG00000008277,protein_coding,ADAM22
ENSG00000008282,protein_coding,SYPL1
ENSG00000008283,protein_coding,CYB561
ENSG00000008294,protein_coding,SPAG9
ENSG00000008300,protein_coding,CELSR3
ENSG00000008311,protein_coding,AASS
ENSG00000008324,protein_coding,SS18L2
ENSG00000008382,protein_coding,MPND
ENSG00000008394,protein_coding,MGST1
ENSG00000008405,protein_coding,CRY1
ENSG00000008438,protein_coding,PGLYRP1
ENSG00000008441,protein_coding,NFIX
ENSG00000008513,protein_coding,ST3GAL1
ENSG00000008516,protein_coding,MMP25
ENSG00000008517,protein_coding,IL32
ENSG00000008710,protein_coding,PKD1
ENSG00000008735,protein_coding,MAPK8IP2
ENSG00000008838,protein_coding,MED24
ENSG00000008853,protein_coding,RHOBTB2
ENSG00000008869,protein_coding,HEATR5B
ENSG00000008952,protein_coding,SEC62
ENSG00000009307,protein_coding,CSDE1
ENSG00000009335,protein_coding,UBE3C
ENSG00000009413,protein_coding,REV3L
ENSG00000009694,protein_coding,TENM1
ENSG00000009709,protein_coding,PAX7
ENSG00000009724,protein_coding,MASP2
ENSG00000009780,protein_coding,FAM76A
ENSG00000009790,protein_coding,TRAF3IP3
ENSG00000009830,protein_coding,POMT2
ENSG00000009844,protein_coding,VTA1
ENSG00000009950,protein_coding,MLXIPL
ENSG00000009954,protein_coding,BAZ1B
ENSG00000010017,protein_coding,RANBP9
ENSG00000010072,protein_coding,SPRTN
ENSG00000010165,protein_coding,EEF1AKNMT
ENSG00000010244,protein_coding,ZNF207
ENSG00000010256,protein_coding,UQCRC1
ENSG00000010270,protein_coding,STARD3NL
ENSG00000010278,protein_coding,CD9
ENSG00000010292,protein_coding,NCAPD2
ENSG00000010295,protein_coding,IFFO1
ENSG00000010310,protein_coding,GIPR
ENSG00000010318,protein_coding,PHF7
ENSG00000010322,protein_coding,NISCH
ENSG00000010327,protein_coding,STAB1
ENSG00000010361,protein_coding,FUZ
ENSG00000010379,protein_coding,SLC6A13
ENSG00000010404,protein_coding,IDS
ENSG00000010438,protein_coding,PRSS3
ENSG00000010539,protein_coding,ZNF200
ENSG00000010610,protein_coding,CD4
ENSG00000010626,protein_coding,LRRC23
ENSG00000010704,protein_coding,HFE
ENSG00000010803,protein_coding,SCMH1
ENSG00000010810,protein_coding,FYN
ENSG00000010818,protein_coding,HIVEP2
ENSG00000011007,protein_coding,ELOA
ENSG00000011009,protein_coding,LYPLA2
ENSG00000011021,protein_coding,CLCN6
ENSG00000011028,protein_coding,MRC2
ENSG00000011083,protein_coding,SLC6A7
ENSG00000011105,protein_coding,TSPAN9
ENSG00000011114,protein_coding,BTBD7
ENSG00000011132,protein_coding,APBA3
ENSG00000011143,protein_coding,MKS1
ENSG00000011198,protein_coding,ABHD5
ENSG00000011201,protein_coding,ANOS1
ENSG00000011243,protein_coding,AKAP8L
ENSG00000011258,protein_coding,MBTD1
ENSG00000011260,protein_coding,UTP18
ENSG00000011275,protein_coding,RNF216
ENSG00000011295,protein_coding,TTC19
ENSG00000011304,protein_coding,PTBP1
ENSG00000011332,protein_coding,DPF1
ENSG00000011347,protein_coding,SYT7
ENSG00000011376,protein_coding,LARS2
ENSG00000011405,protein_coding,PIK3C2A
ENSG00000011422,protein_coding,PLAUR
ENSG00000011426,protein_coding,ANLN
ENSG00000011451,protein_coding,WIZ
ENSG00000011454,protein_coding,RABGAP1
ENSG00000011465,protein_coding,DCN
ENSG00000011478,protein_coding,QPCTL
ENSG00000011485,protein_coding,PPP5C
ENSG00000011523,protein_coding,CEP68
ENSG00000011566,protein_coding,MAP4K3
ENSG00000011590,protein_coding,ZBTB32
ENSG00000011600,protein_coding,TYROBP
ENSG00000011638,protein_coding,TMEM159
ENSG00000011677,protein_coding,GABRA3
ENSG00000012048,protein_coding,BRCA1
ENSG00000012061,protein_coding,ERCC1
ENSG00000012124,protein_coding,CD22
ENSG00000012174,protein_coding,MBTPS2
