"geneSet","description","NES","FDR","Function","Datatype"
"GO:0048736","appendage development",1.63043501936732,0.113432936001864,"GO","FP_CTCDT"
"GO:0051047","positive regulation of secretion",-1.45755111596842,0.113925131744013,"GO","FP_CTCDT"
"GO:0015669","gas transport",-1.45337670508889,0.114614487636732,"GO","FP_CTCDT"
"GO:0022407","regulation of cell-cell adhesion",-1.44034404005991,0.115872859874002,"GO","FP_CTCDT"
"GO:2000027","regulation of animal organ morphogenesis",1.53529827210205,0.11610685587219,"GO","FP_CTCDT"
"GO:0002065","columnar/cuboidal epithelial cell differentiation",1.59774169826866,0.116162735922837,"GO","FP_CTCDT"
"GO:0006813","potassium ion transport",1.56897800405589,0.116482634351076,"GO","FP_CTCDT"
"GO:0098739","import across plasma membrane",1.64085750178262,0.116671865273177,"GO","FP_CTCDT"
"GO:0007215","glutamate receptor signaling pathway",1.50520468625458,0.116700858246194,"GO","FP_CTCDT"
"GO:0141060","disruption of anatomical structure in another organism",-1.43330396153536,0.116930636041935,"GO","FP_CTCDT"
"GO:0001667","ameboidal-type cell migration",-1.43358532921016,0.117465283716295,"GO","FP_CTCDT"
"GO:0042303","molting cycle",1.50678817066391,0.117792816447075,"GO","FP_CTCDT"
"GO:0070542","response to fatty acid",-1.43451900087524,0.118320926291651,"GO","FP_CTCDT"
"GO:0001578","microtubule bundle formation",1.53595038053395,0.118470879248874,"GO","FP_CTCDT"
"GO:0030323","respiratory tube development",1.54644581602496,0.118827979764598,"GO","FP_CTCDT"
"GO:0009582","detection of abiotic stimulus",1.50801362693872,0.119187998881903,"GO","FP_CTCDT"
"GO:0045785","positive regulation of cell adhesion",-1.43528649404267,0.119396791068918,"GO","FP_CTCDT"
"GO:0042908","xenobiotic transport",1.54205817174081,0.119636560258361,"GO","FP_CTCDT"
"GO:0060541","respiratory system development",1.69454717198828,0.120058018602277,"GO","FP_CTCDT"
"GO:0050953","sensory perception of light stimulus",1.54757477781732,0.120931761380013,"GO","FP_CTCDT"
"GO:0050808","synapse organization",1.50866780087009,0.120984570009436,"GO","FP_CTCDT"
"GO:0009566","fertilization",1.48908833873643,0.121302381942877,"GO","FP_CTCDT"
"GO:0015697","quaternary ammonium group transport",1.64862217544897,0.12206714691262,"GO","FP_CTCDT"
"GO:0090596","sensory organ morphogenesis",1.60123409258825,0.122146359856755,"GO","FP_CTCDT"
"GO:0048880","sensory system development",1.48242223734618,0.122538255475109,"GO","FP_CTCDT"
"GO:0043583","ear development",1.49256543462939,0.122866749273232,"GO","FP_CTCDT"
"GO:0035270","endocrine system development",1.66480943498262,0.122938489298109,"GO","FP_CTCDT"
"GO:1990806","ligand-gated ion channel signaling pathway",1.47904277771819,0.123113304071373,"GO","FP_CTCDT"
"GO:0007548","sex differentiation",1.54871533283417,0.123300605614157,"GO","FP_CTCDT"
"GO:0006814","sodium ion transport",1.64111463665913,0.12331125609404,"GO","FP_CTCDT"
"GO:0043331","response to dsRNA",1.60473070064822,0.123709954493167,"GO","FP_CTCDT"
"GO:0035590","purinergic nucleotide receptor signaling pathway",1.51229879263334,0.123709954493167,"GO","FP_CTCDT"
"GO:0061458","reproductive system development",1.52294878337258,0.124598189079993,"GO","FP_CTCDT"
"GO:0046717","acid secretion",1.51384912264764,0.124881846860897,"GO","FP_CTCDT"
"GO:0001570","vasculogenesis",-1.4215839735465,0.126057867236576,"GO","FP_CTCDT"
"GO:0035272","exocrine system development",1.51569211505075,0.126164616477441,"GO","FP_CTCDT"
"GO:0043410","positive regulation of MAPK cascade",-1.42172268385235,0.126843160325742,"GO","FP_CTCDT"
"GO:0097191","extrinsic apoptotic signaling pathway",-1.4179712528264,0.127663037461586,"GO","FP_CTCDT"
"GO:0030522","intracellular receptor signaling pathway",1.51584353202189,0.129010253574161,"GO","FP_CTCDT"
"GO:0010563","negative regulation of phosphorus metabolic process",-1.41329317623918,0.129437529011904,"GO","FP_CTCDT"
"GO:0031163","metallo-sulfur cluster assembly",-1.41068444186278,0.130135805237799,"GO","FP_CTCDT"
"GO:0060216","definitive hemopoiesis",1.45714499521607,0.130364702810801,"GO","FP_CTCDT"
"GO:0006413","translational initiation",-1.40840867327632,0.130468631290687,"GO","FP_CTCDT"
"GO:0046683","response to organophosphorus",-1.40915461303927,0.13062822132235,"GO","FP_CTCDT"
"GO:0051347","positive regulation of transferase activity",-1.4111838029117,0.130630752245824,"GO","FP_CTCDT"
"GO:0051249","regulation of lymphocyte activation",-1.4138274417097,0.130700075940296,"GO","FP_CTCDT"
"GO:0048705","skeletal system morphogenesis",1.46564321062913,0.130902030615186,"GO","FP_CTCDT"
"GO:0007530","sex determination",1.69535321655274,0.131556857620038,"GO","FP_CTCDT"
"GO:0006820","monoatomic anion transport",1.4596985568871,0.132403158494156,"GO","FP_CTCDT"
"GO:0033002","muscle cell proliferation",-1.40001764613907,0.133631910739676,"GO","FP_CTCDT"
"GO:0060037","pharyngeal system development",1.46075367312993,0.133804946946058,"GO","FP_CTCDT"
"GO:0009743","response to carbohydrate",-1.40049603153111,0.134014004672881,"GO","FP_CTCDT"
"GO:0030534","adult behavior",1.45128627729603,0.134286657541012,"GO","FP_CTCDT"
"GO:0055094","response to lipoprotein particle",-1.40289599464193,0.134365441010346,"GO","FP_CTCDT"
"GO:0043549","regulation of kinase activity",-1.40079940724852,0.134569854844358,"GO","FP_CTCDT"
"GO:0046631","alpha-beta T cell activation",-1.3976642875505,0.135177540874624,"GO","FP_CTCDT"
"GO:0051131","chaperone-mediated protein complex assembly",-1.39545369554925,0.135843899103927,"GO","FP_CTCDT"
"GO:0006414","translational elongation",-1.39590163871758,0.136142119766744,"GO","FP_CTCDT"
"GO:0071241","cellular response to inorganic substance",-1.39312992695799,0.136398938209273,"GO","FP_CTCDT"
"GO:0071496","cellular response to external stimulus",-1.39363187545594,0.136736077828456,"GO","FP_CTCDT"
"GO:0032637","interleukin-8 production",-1.38589627661561,0.139953074518551,"GO","FP_CTCDT"
"GO:0051051","negative regulation of transport",-1.38737079469545,0.140208515304021,"GO","FP_CTCDT"
"GO:0009581","detection of external stimulus",1.44305554785269,0.140336532300934,"GO","FP_CTCDT"
"GO:0035150","regulation of tube size",-1.38432162528138,0.140582641367886,"GO","FP_CTCDT"
"GO:1904019","epithelial cell apoptotic process",-1.381058307035,0.141218698797254,"GO","FP_CTCDT"
"GO:0032613","interleukin-10 production",-1.38177984774014,0.141382161651401,"GO","FP_CTCDT"
"GO:0015698","inorganic anion transport",1.69864460658096,0.142794533961378,"GO","FP_CTCDT"
"GO:0014074","response to purine-containing compound",-1.3782006154382,0.143136506711602,"GO","FP_CTCDT"
"GO:0098664","G protein-coupled serotonin receptor signaling pathway",1.70931998448322,0.145593391320828,"GO","FP_CTCDT"
"GO:0051090","regulation of DNA-binding transcription factor activity",-1.37045285759413,0.150740783241275,"GO","FP_CTCDT"
"GO:0055123","digestive system development",1.41959288873349,0.153588320302153,"GO","FP_CTCDT"
"GO:0006949","syncytium formation",1.42378617146445,0.153741992443624,"GO","FP_CTCDT"
"GO:0048732","gland development",1.42488930751707,0.15479141201043,"GO","FP_CTCDT"
"GO:0097164","ammonium ion metabolic process",1.41986372212018,0.155492746110775,"GO","FP_CTCDT"
"GO:0042176","regulation of protein catabolic process",-1.36306345307419,0.157040507774229,"GO","FP_CTCDT"
"GO:0051345","positive regulation of hydrolase activity",-1.35897103306933,0.159876904518964,"GO","FP_CTCDT"
"GO:0001763","morphogenesis of a branching structure",1.40880577404085,0.161273213824338,"GO","FP_CTCDT"
"GO:0198738","cell-cell signaling by wnt",1.40918629083689,0.162967430401188,"GO","FP_CTCDT"
"GO:0050803","regulation of synapse structure or activity",1.40200190457127,0.164222163436292,"GO","FP_CTCDT"
"GO:0048568","embryonic organ development",1.39249195161289,0.173067775628836,"GO","FP_CTCDT"
"GO:0140253","cell-cell fusion",1.39009808742227,0.173963970195704,"GO","FP_CTCDT"
